backend,sample_idx,sample_rel,feature_idx,shape,max_abs,mean_abs,p95_abs,cosine,relative_l2
trt_fp32_tf32_disabled,16,test/defect/2_80.bmp,0,1x1024x16x16,5.926936864852905e-06,6.484644643478532e-08,2.0116567611694336e-07,0.9999999403953552,1.7771961893231492e-06
trt_fp32_tf32_disabled,16,test/defect/2_80.bmp,1,1x1024x16x16,4.405155777931213e-06,1.8686756675379002e-07,5.140900611877441e-07,1.0,2.8055335405952064e-06
trt_fp32_tf32_disabled,16,test/defect/2_80.bmp,2,1x1024x16x16,4.57763671875e-05,5.787855457128899e-07,1.4901161193847656e-06,1.0,1.9452118067420088e-06
trt_fp32_tf32_disabled,16,test/defect/2_80.bmp,3,1x1024x16x16,0.0005035400390625,5.46543788004783e-06,1.4392193406820297e-05,0.9999999403953552,3.1937697713146918e-06
trt_fp32_tf32_disabled,17,test/defect/2_81.bmp,0,1x1024x16x16,3.5972334444522858e-06,6.561069199051417e-08,2.0116567611694336e-07,1.0,1.7519919310871046e-06
trt_fp32_tf32_disabled,17,test/defect/2_81.bmp,1,1x1024x16x16,3.9637088775634766e-06,1.8373020793660544e-07,5.066394805908203e-07,1.0,2.753320131887449e-06
trt_fp32_tf32_disabled,17,test/defect/2_81.bmp,2,1x1024x16x16,7.62939453125e-05,5.909369065193459e-07,1.519918441772461e-06,1.0,2.0085540199943352e-06
trt_fp32_tf32_disabled,17,test/defect/2_81.bmp,3,1x1024x16x16,0.0001983642578125,5.531431270355824e-06,1.4662742614746094e-05,1.0,3.2725977234804304e-06
trt_fp32_tf32_disabled,18,test/defect/2_84.bmp,0,1x1024x16x16,3.18232923746109e-06,6.201588576004724e-08,1.9133221940137446e-07,1.0,1.6531047322132508e-06
trt_fp32_tf32_disabled,18,test/defect/2_84.bmp,1,1x1024x16x16,3.5762786865234375e-06,1.7476793345849728e-07,4.76837158203125e-07,1.0000001192092896,2.5859285415208433e-06
trt_fp32_tf32_disabled,18,test/defect/2_84.bmp,2,1x1024x16x16,6.866455078125e-05,5.855231393070426e-07,1.5050172805786133e-06,0.9999998807907104,2.0524378214759054e-06
trt_fp32_tf32_disabled,18,test/defect/2_84.bmp,3,1x1024x16x16,0.0004825592041015625,5.670166046911618e-06,1.4789402484893799e-05,0.9999999403953552,3.4550478176242905e-06
trt_fp32_tf32_disabled,19,test/defect/2_89.bmp,0,1x1024x16x16,3.956258296966553e-06,6.454042988934816e-08,2.0489096641540527e-07,1.0,1.7814094235291122e-06
trt_fp32_tf32_disabled,19,test/defect/2_89.bmp,1,1x1024x16x16,4.9173831939697266e-06,1.8292578829459671e-07,5.066394805908203e-07,1.0,2.7477262847241946e-06
