stage,alpha,threshold,calib_precision,calib_recall,calib_f1,calib_accuracy,calib_fpr,test_precision,test_recall,test_f1,test_accuracy,test_fpr,test_tp,test_fp,test_tn,test_fn,auc_roc,auc_pr
S5,0.13,2.077801379271526,0.8181818181818182,0.7346938775510204,0.7741935483870968,0.8590604026845637,0.08,0.8928571428571429,0.7142857142857143,0.7936507936507937,0.896,0.03333333333333333,50,6,174,20,0.9704761904761905,0.9284276708043826
S5,0.14,2.1118868871622465,0.8181818181818182,0.7346938775510204,0.7741935483870968,0.8590604026845637,0.08,0.8928571428571429,0.7142857142857143,0.7936507936507937,0.896,0.03333333333333333,50,6,174,20,0.9713492063492064,0.9291410959587258
S5,0.15,2.1459723950529668,0.8181818181818182,0.7346938775510204,0.7741935483870968,0.8590604026845637,0.08,0.8928571428571429,0.7142857142857143,0.7936507936507937,0.896,0.03333333333333333,50,6,174,20,0.9725396825396826,0.930726026751925
S5,0.16,1.9695228910766265,0.8043478260869565,0.7551020408163265,0.7789473684210526,0.8590604026845637,0.09,0.896551724137931,0.7428571428571429,0.8125,0.904,0.03333333333333333,52,6,174,18,0.9733333333333334,0.9313399738742153
S5,0.17,2.0475974760903193,0.8222222222222222,0.7551020408163265,0.7872340425531914,0.8657718120805369,0.08,0.896551724137931,0.7428571428571429,0.8125,0.904,0.03333333333333333,52,6,174,18,0.9737301587301588,0.9315460840542921
S5,0.18,2.125672061104012,0.8222222222222222,0.7551020408163265,0.7872340425531914,0.8657718120805369,0.08,0.8947368421052632,0.7285714285714285,0.8031496062992126,0.9,0.03333333333333333,51,6,174,19,0.9751587301587301,0.9337969638459289
S5,0.19,1.9825738750231503,0.8085106382978723,0.7755102040816326,0.7916666666666665,0.8657718120805369,0.09,0.8852459016393442,0.7714285714285715,0.8244274809160306,0.908,0.03888888888888889,54,7,173,16,0.9755555555555556,0.934054025681315
S5,0.2,2.0724398769067505,0.8260869565217391,0.7755102040816326,0.8,0.87248322147651,0.08,0.9,0.7714285714285715,0.8307692307692307,0.912,0.03333333333333333,54,6,174,16,0.9764285714285714,0.9351682517451051
S5,0.21,2.1192133945516702,0.8260869565217391,0.7755102040816326,0.8,0.87248322147651,0.08,0.9,0.7714285714285715,0.8307692307692307,0.912,0.03333333333333333,54,6,174,16,0.977063492063492,0.935937276466134
S5,0.22,2.111031272489709,0.8260869565217391,0.7755102040816326,0.8,0.87248322147651,0.08,0.9,0.7714285714285715,0.8307692307692307,0.912,0.03333333333333333,54,6,174,16,0.9773809523809525,0.936511046907277
