backend,threshold_mode,method,stage,alpha,threshold,precision,recall,f1,accuracy,auc_roc,auc_pr,tp,fp,tn,fn
gpu_uint8_rerun,fixed_cpu_threshold,ADP-only-DINO,S7,,1.7078936100006104,0.8428571428571429,0.8428571428571429,0.8428571428571429,0.912,0.9647619047619047,0.9046693689589801,59,11,169,11
cpu_pil_rerun,fixed_cpu_threshold,AHL-DINO,S7,,0.5805198,0.9591836734693877,0.6714285714285714,0.7899159663865546,0.9,0.9515079365079364,0.9117651201420736,47,2,178,23
gpu_uint8_rerun,fixed_cpu_threshold,AHL-DINO,S7,,0.5805198,0.9487179487179487,0.5285714285714286,0.6788990825688073,0.86,0.9328571428571428,0.8999541437259194,37,2,178,33
cpu_pil_rerun,fixed_cpu_threshold,ADP-AHL-bridge-v2,S7,0.35,2.4641474573623876,0.8939393939393939,0.8428571428571429,0.8676470588235294,0.928,0.9811111111111112,0.942827778834465,59,7,173,11
gpu_uint8_rerun,fixed_cpu_threshold,ADP-AHL-bridge-v2,S7,0.35,2.4641474573623876,0.9298245614035088,0.7571428571428571,0.8346456692913385,0.916,0.9826190476190476,0.951491271898498,53,4,176,17
cpu_pil_rerun,fixed_cpu_threshold,ADP-only-DINO,S8,,1.7078936100006104,0.8428571428571429,0.8428571428571429,0.8428571428571429,0.912,0.9690476190476192,0.9150818859353809,59,11,169,11
gpu_uint8_rerun,fixed_cpu_threshold,ADP-only-DINO,S8,,1.7078936100006104,0.8428571428571429,0.8428571428571429,0.8428571428571429,0.912,0.9647619047619047,0.9046693689589801,59,11,169,11
cpu_pil_rerun,fixed_cpu_threshold,AHL-DINO,S8,,0.4777651,0.8484848484848485,0.8,0.823529411764706,0.904,0.9361904761904762,0.8881426079716889,56,10,170,14
gpu_uint8_rerun,fixed_cpu_threshold,AHL-DINO,S8,,0.4777651,0.873015873015873,0.7857142857142857,0.8270676691729324,0.908,0.9248412698412697,0.8886979914120792,55,8,172,15
cpu_pil_rerun,fixed_cpu_threshold,ADP-AHL-bridge-v2,S8,0.7,2.9384913785918236,0.8923076923076924,0.8285714285714286,0.8592592592592593,0.924,0.9761111111111112,0.9276070419018873,58,7,173,12
gpu_uint8_rerun,fixed_cpu_threshold,ADP-AHL-bridge-v2,S8,0.7,2.9384913785918236,0.8709677419354839,0.7714285714285715,0.8181818181818182,0.904,0.9780158730158731,0.9360389014024447,54,8,172,16
