backend,threshold_mode,method,stage,alpha,threshold,precision,recall,f1,accuracy,auc_roc,auc_pr,tp,fp,tn,fn,v2_f1,v2_recall,v2_auc_pr,delta_f1_vs_v2,delta_recall_vs_v2,delta_auc_pr_vs_v2
gpu_uint8_rerun,self_calibrated,AHL-DINO,S5,,0.38591564,0.47794117647058826,0.9285714285714286,0.6310679611650486,0.696,0.9221428571428573,0.8795529604475308,65,71,109,5,0.7898089171974522,0.8857142857142857,0.9059148331323722,-0.15874095603240357,0.04285714285714293,-0.02636187268484136
cpu_pil_rerun,self_calibrated,ADP-AHL-bridge-v2,S5,0.35,1.7830212442567703,0.8767123287671232,0.9142857142857143,0.8951048951048951,0.94,0.9803174603174603,0.9410750894911254,64,9,171,6,0.8951048951048951,0.9142857142857143,0.9410750894911254,0.0,0.0,0.0
gpu_uint8_rerun,self_calibrated,ADP-AHL-bridge-v2,S5,0.35,1.7739635554171098,0.8888888888888888,0.9142857142857143,0.9014084507042254,0.944,0.98,0.9404559117205382,64,8,172,6,0.8951048951048951,0.9142857142857143,0.9410750894911254,0.006303555599330268,0.0,-0.0006191777705871759
cpu_pil_rerun,self_calibrated,ADP-only-DINO,S6,,1.3925561904907227,0.6634615384615384,0.9857142857142858,0.7931034482758621,0.856,0.9690476190476192,0.9150818859353809,69,35,145,1,0.7931034482758621,0.9857142857142858,0.9150818859353809,0.0,0.0,0.0
gpu_uint8_rerun,self_calibrated,ADP-only-DINO,S6,,1.4569981098175049,0.7362637362637363,0.9571428571428572,0.8322981366459627,0.892,0.9647619047619047,0.9046693689589801,67,24,156,3,0.7931034482758621,0.9857142857142858,0.9150818859353809,0.03919468837010065,-0.02857142857142858,-0.010412516976400776
cpu_pil_rerun,self_calibrated,AHL-DINO,S6,,0.50008345,0.6875,0.9428571428571428,0.7951807228915663,0.864,0.955952380952381,0.9191105517393378,66,30,150,4,0.7951807228915663,0.9428571428571428,0.9191105517393378,0.0,0.0,0.0
gpu_uint8_rerun,self_calibrated,AHL-DINO,S6,,0.46203592,0.5701754385964912,0.9285714285714286,0.7065217391304348,0.784,0.9318253968253969,0.8897580939920892,65,49,131,5,0.7951807228915663,0.9428571428571428,0.9191105517393378,-0.08865898376113146,-0.014285714285714235,-0.029352457747248595
cpu_pil_rerun,self_calibrated,ADP-AHL-bridge-v2,S6,0.35,2.17605756975357,0.875,0.9,0.8873239436619719,0.936,0.9825396825396826,0.9470662908317473,63,9,171,7,0.8873239436619719,0.9,0.9470662908317473,0.0,0.0,0.0
gpu_uint8_rerun,self_calibrated,ADP-AHL-bridge-v2,S6,0.35,1.6129920183176925,0.8783783783783784,0.9285714285714286,0.9027777777777779,0.944,0.9811111111111112,0.9428923429666782,65,9,171,5,0.8873239436619719,0.9,0.9470662908317473,0.015453834115806031,0.02857142857142858,-0.004173947865069083
cpu_pil_rerun,self_calibrated,ADP-only-DINO,S7,,1.7078936100006104,0.8428571428571429,0.8428571428571429,0.8428571428571429,0.912,0.9690476190476192,0.9150818859353809,59,11,169,11,0.8428571428571429,0.8428571428571429,0.9150818859353809,0.0,0.0,0.0
